,Word,Frequency
0,',3737
1,@,2052
2,b,1935
3,rachelgwenllian,1935
4,!,537
5,.,455
6,dolphin,309
7,the,247
8,octopus,247
9,seahorse,228
10,",",205
11,:,196
12,https,165
13,whale,165
14,orca,165
15,i,149
16,sea,137
17,'',136
18,for,131
19,a,123
20,shark,117
21,to,103
22,and,89
23,me,86
24,my,70
25,is,68
26,dolphins,62
27,of,61
28,are,61
29,ray,58
30,),58
31,seal,57
32,horse,57
33,\xf0\x9f\x90\xac,57
34,they,55
35,but,53
36,in,48
37,please,47
38,have,46
39,jellyfish,46
40,with,44
41,\xf0\x9f\x90\x99,44
42,so,44
43,(,41
44,?,40
45,crab,39
46,...,37
47,killer,36
48,whales,36
49,all,35
50,be,35
51,one,32
52,hermit,32
53,manta,31
54,fish,30
55,them,28
56,you,28
57,it,28
58,blue,27
59,go,27
60,starfish,27
61,stingray,27
62,-,27
63,lion,24
64,\xf0\x9f\x90\x8b,24
65,\xf0\x9f\x98\x8a,24
66,definitely,23
67,sharks,23
68,love,22
69,can,22
70,\xf0\x9f\xa6\x88,22
71,on,22
72,that,20
73,'s,20
74,;,20
75,no,20
76,like,19
77,vote,19
78,great,19
79,clown,19
80,good,18
81,creatures,18
82,as,18
83,not,17
84,nemo,17
85,x,17
86,intelligent,17
87,there,16
88,humpback,16
89,we,16
90,if,16
91,&,16
92,pulplibrarian,16
93,favorite,15
94,this,15
95,narwhal,15
96,'ll,15
97,was,15
98,orcas,15
99,'re,15
100,down,15
101,has,14
102,would,14
103,say,14
104,going,14
105,'m,14
106,seals,14
107,because,14
108,\xf0\x9f\x91\x8d,14
109,very,14
110,seahorses,14
111,your,13
112,luck,13
113,an,13
114,rays,13
115,sharkadvocates,13
116,too,13
117,favourite,13
118,says,12
119,white,12
120,mine,12
121,got,12
122,beautiful,12
123,hard,12
124,turtle,11
125,daughter,11
126,or,11
127,see,11
128,n't,11
129,know,11
130,close,11
131,\xe2\x9d\xa4\xef\xb8\x8f,11
132,clever,11
133,some,11
134,\xf0\x9f\x90\xb3,11
135,pick,11
136,second,11
137,do,11
138,put,11
139,at,10
140,squid,10
141,she,10
142,otter,10
143,old,10
144,since,10
145,when,9
146,cool,9
147,\xf0\x9f\x98\x8d,9
148,late,9
149,here,9
150,list,8
151,\xf0\x9f\x99\x82,8
152,i\xe2\x80\x99m,8
153,horses,8
154,think,8
155,xx,8
156,really,8
157,they\xe2\x80\x99re,8
158,her,8
159,our,8
160,amazing,8
161,by,8
162,choose,8
163,just,8
164,it\xe2\x80\x99s,8
165,\xf0\x9f\x98\x81,8
166,clownfish,7
167,time,7
168,year,7
169,sure,7
170,their,7
171,oh,7
172,then,7
173,smart,7
174,i\xe2\x80\x99ll,7
175,take,7
176,get,7
177,gt,7
178,choice,7
179,chart,7
180,big,7
181,tough,7
182,will,7
183,\xf0\x9f\xa6\x80,7
184,still,6
185,looks,6
186,sting,6
187,animal,6
188,give,6
189,turtles,6
190,amp,6
191,us,6
192,1,6
193,3,6
194,first,6
195,though,6
196,such,6
197,#,6
198,octopuses,6
199,ones,6
200,well,6
201,votes,6
202,hope,6
203,2,6
204,kraken,5
205,giant,5
206,urchin,5
207,georgeprobst,5
208,na,5
209,ta,5
210,how,5
211,ocean,5
212,star,5
213,best,5
214,da,5
215,called,5
216,\xf0\x9f\x98\x80,5
217,done,5
218,creature,5
219,off,5
220,also,5
221,yn,5
222,\xe2\x9d\xa4,5
223,little,5
224,\xe2\x98\xba\xef\xb8\x8f,5
225,from,5
226,about,5
227,way,5
228,look,4
229,birth,4
230,add,4
231,who,4
232,gon,4
233,had,4
234,make,4
235,let,4
236,momademia,4
237,option,4
238,lions,4
239,manatee,4
240,am,4
241,change,4
242,most,4
243,fascinating,4
244,much,4
245,more,4
246,sealion,4
247,course,4
248,which,4
249,day,4
250,davidbflower,4
251,manatees,4
252,answer,4
253,were,4
254,right,4
255,been,4
256,every,4
257,\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf,4
258,dogs,4
259,drsdeg,4
260,between,4
261,awesome,4
262,fave,4
263,lot,4
264,sea-horse,4
265,thanks,4
266,dotlepkowska,4
267,than,3
268,both,3
269,quite,3
270,where,3
271,penguins,3
272,ask,3
273,\xf0\x9f\xa6\x88\xf0\x9f\xa6\x88\xf0\x9f\xa6\x88,3
274,call,3
275,count,3
276,half,3
277,bad,3
278,ever,3
279,xxx,3
280,mermaid,3
281,porpoise,3
282,5,3
283,chose,3
284,``,3
285,friend,3
286,life,3
287,work,3
288,live,3
289,can\xe2\x80\x99t,3
290,'d,3
291,ftw,3
292,up,3
293,i\xe2\x80\xa6,3
294,aquarium,3
295,\xf0\x9f\xa5\xb0,3
296,three,3
297,lt,3
298,south,3
299,wales,3
300,followed,3
301,over,3
302,lobster,3
303,tang,3
304,you\xe2\x80\x99re,3
305,years,3
306,coast,3
307,should,3
308,\xf0\x9f\x92\x95,3
309,only,3
310,free,3
311,remember,3
312,octojellys,3
313,/,3
314,playful,3
315,learned,3
316,win,3
317,1.,3
318,real,3
319,wait,3
320,son,3
321,willy,3
322,watching,3
323,counting,3
324,saw,3
325,any,3
326,bigger,3
327,pob,3
328,cuttlefish,3
329,gets,3
330,\nthey,3
331,don\xe2\x80\x99t,3
332,pair,3
333,iawn,3
334,eel,3
335,\xf0\x9f\x90\xb4,3
336,\xf0\x9f\x8c\x8a,3
337,home,3
338,what,3
339,child,3
340,people,2
341,feed,2
342,water,2
343,young,2
344,swam,2
345,into,2
346,8,2
347,\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb,2
348,horseshoe,2
349,crabs,2
350,come,2
351,visit,2
352,\xf0\x9f\x90\xac\xe2\x9d\xa4\xef\xb8\x8f,2
353,males,2
354,obvs,2
355,..,2
356,humans,2
357,out,2
358,alive,2
359,same,2
360,enjoys,2
361,results,2
362,graph,2
363,recyclers,2
364,seastar,2
365,without,2
366,fav,2
367,kids,2
368,likes,2
369,bottle,2
370,nosed,2
371,wild,2
372,canada,2
373,anemone,2
374,doo,2
375,seal/sea,2
376,mpcmonkey,2
377,choices,2
378,jelly,2
379,graceful,2
380,heart,2
381,dear,2
382,guess,2
383,whale/orca,2
384,i\xe2\x80\x99d,2
385,probably,2
386,even,2
387,she\xe2\x80\x99s,2
388,ago,2
389,th\xe2\x80\xa6,2
390,puppies,2
391,two,2
392,highly,2
393,fun,2
394,beluga,2
395,absence,2
396,legs,2
397,favorites,2
398,he,2
399,\xf0\x9f\x90\x99\xf0\x9f\x90\x99\xf0\x9f\x90\x99\xf0\x9f\x90\x99\xf0\x9f\x90\x99,2
400,difficult,2
401,perlalaloca,2
402,reasons,2
403,apparently,2
404,those,2
405,maldives,2
406,dolphin/porpoise,2
407,orange,2
408,west,2
409,after,2
410,escape,2
411,long,2
412,poll,2
413,press,2
414,swimming,2
415,\xf0\x9f\x98\x89,2
416,remind,2
417,small,2
418,help,2
419,being,2
420,puzzle,2
421,solvers,2
422,write,2
423,around,2
424,species,2
425,\xf0\x9f\x92\x99,2
426,os,2
427,dwi,2
428,morfil,2
429,hi,2
430,\xe2\x9c\x85,2
431,question,2
432,7,2
433,shrimp,2
434,im,2
435,fan,2
436,katrussen,2
437,project,2
438,trevorabranch,2
439,ooh,2
440,youngest,2
441,now,2
442,\xf0\x9f\x98\x82,2
443,serious,2
444,said,2
445,kind,2
446,actually,2
447,colour,2
448,through,2
449,seem,2
450,sound,2
451,homeschooling,2
452,mola,2
453,once,2
454,otters,2
455,coming,2
456,cephalopods,2
457,man,2
458,these,2
459,counted,2
460,tally,2
461,octopus-,2
462,memo,2
463,torn,2
464,today,2
465,gwaith,2
466,basically,2
467,girl,2
468,tallying,2
469,\xf0\x9f\x98\x8e,2
470,9yr,2
471,yr,2
472,picking,2
473,babies,2
474,thank,2
475,k_flynny1234,2
476,that\xe2\x80\x99s,2
477,gives,2
478,person,2
479,nautilus,2
480,its,2
481,never,2
482,i\xe2\x80\x99ve,2
483,especially,2
484,\xf0\x9f\xa4\x94,2
485,croeso,2
486,asking,2
487,numbers,2
488,mines,2
489,husband,2
490,obviously,2
491,ca,2
492,magnificent,2
493,little_g2,2
494,options,2
495,wot,2
496,hands,2
497,tut,2
498,rachel,2
499,bottom,2
500,always,2
501,each,2
502,seen,2
503,decision,2
504,preferably,2
505,vivscontent,2
506,fellowfry,2
507,use,2
508,y,2
509,majestic,2
510,adorable,2
511,need,2
512,\n\n,2
513,sonofgreece2,2
514,mark,2
515,partner,2
516,grey,2
517,cleverest,2
518,\xf0\x9f\x90\x9a,2
519,row,2
520,eat,2
521,\xf0\x9f\x90\xac\xf0\x9f\x90\xac\xf0\x9f\x90\xac,2
522,easy,2
523,maligned,2
524,flap,2
525,\xf0\x9f\x98\x8e\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd,1
526,//t.co/bszfpn392v,1
527,keep,1
528,smarter,1
529,whale\xf0\x9f\xa4\x93,1
530,already,1
531,large,1
532,sample,1
533,\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb,1
534,golden,1
535,labradors,1
536,seas,1
537,plant/,1
538,thing,1
539,trishgreenhalgh,1
540,video,1
541,doing,1
542,roll,1
543,harbor,1
544,//t.co/28bf351hvb,1
545,\xe2\x9d\xa3\xef\xb8\x8f,1
546,11,1
547,13,1
548,year-old,1
549,daughters,1
550,absent,1
551,the\xe2\x80\xa6,1
552,//t.co/oxy0miki8h,1
553,san,1
554,francisco,1
555,pier,1
556,39.,1
557,enjoy\xe2\x80\xa6,1
558,//t.co/h8mrz34vmb,1
559,lisettevogel,1
560,=,1
561,another,1
562,//t.co/jghs0734uu,1
563,//t.co/kcokhbtbmc,1
564,anyone,1
565,different,1
566,does,1
567,dorrie,1
568,made,1
569,\xf0\x9f\x92\x99\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf\xf0\x9f\x92\x99,1
570,lots,1
571,fast,1
572,penny,1
573,worlds,1
574,largest,1
575,ye\xe2\x80\xa6,1
576,//t.co/kupfyei2ax,1
577,//t.co/kr5zlk68gf,1
578,teacher,1
579,mass,1
580,tomorrow,1
581,bar,1
582,crab.\nunassuming,1
583,chancers,1
584,identity,1
585,fluid,1
586,ooooo,1
587,swimmer,1
588,socal,1
589,i've\xe2\x80\xa6,1
590,//t.co/jgoyvg7skp,1
591,master,1
592,regenerator,1
593,wolverine,1
594,adamantium,1
595,\xe2\x9c\xa8\xe2\x98\xba\xef\xb8\x8f,1
596,order,1
597,//t.co/pprrudey5o,1
598,sponge,1
599,dolphin\n1,1
600,\xf0\x9f\x90\x99\xe2\x9d\xa4\xef\xb8\x8f,1
601,//t.co/1uilyqxcsk,1
602,asked,1
603,something,1
604,bigger\xe2\x80\xa6,1
605,//t.co/rxyk41l0zr,1
606,ocotpuses,1
607,genius,1
608,mu,1
609,way.\n\nit,1
610,jaw,1
611,dropping,1
612,hunt,1
613,groups,1
614,waves,1
615,p\xe2\x80\xa6,1
616,//t.co/fcvsdhi2ws,1
617,grade,1
618,complete,1
619,came,1
620,alone,1
621,magic,1
622,hello,1
623,surfer,1
624,dude,1
625,stingrays,1
626,prego,1
627,orca\xf0\x9f\x98\x8a,1
628,dadoo,1
629,haven\xe2\x80\x99t,1
630,ours,1
631,marlin,1
632,honest,1
633,\xf0\x9f\x98\xb1,1
634,//t.co/gkkhl2wmal,1
635,lieu,1
636,\xf0\x9f\x96\x96\xf0\x9f\x8f\xbd,1
637,terminalteacher,1
638,in\xe2\x80\xa6,1
639,//t.co/fh2lipqxfm,1
640,here\xe2\x80\x99s,1
641,colouring,1
642,//t.co/n1qu9ohump,1
643,//t.co/6qxesedk1a,1
644,near,1
645,migratory,1
646,path,1
