id,created_at,favorites,retweets,text
1125897614359007233,2019-05-07 22:58:04,2,0,b'@Squidpastry ty mr mola fren'
1125895219847688192,2019-05-07 22:48:33,1,0,"b""@Squidpastry Like new rubber when it's new, like a cold person has been inside a wetsuit after a while :P"""
1125894996018679809,2019-05-07 22:47:39,2,0,b'@pistrix the wild Monterey Bay has that patented!'
1125889400091463680,2019-05-07 22:25:25,1,0,b'@kumaberi Hope to sea you soon!'
1125889325290233856,2019-05-07 22:25:07,4,0,b'@hcf64 1. Think like a kelp\n2. Hard substrate for growing\n3. Cold seawater filled with kelp treats\n4. Sunlight for\xe2\x80\xa6 https://t.co/j9XY87xOrO'
1125887211650424833,2019-05-07 22:16:43,166,8,"b""What's inside is outside! The kelp forests of Cannery Row inspired our founders to build the Aquarium over three de\xe2\x80\xa6 https://t.co/TRKO2RUpSm"""
1125886015242006528,2019-05-07 22:11:58,5,0,"b'@ThornwolfArt First exhibit in the world to have a living, growing kelp forest inside of an aquarium!'"
1125883219683889152,2019-05-07 22:00:52,1,0,b'@TreesofForrest Did you mean wave action in the exhibit? We still have the same wave pulsing through the Kelp Fores\xe2\x80\xa6 https://t.co/rMEInWIGjt'
1125880737071128578,2019-05-07 21:51:00,931,141,b'We love the kelp forest here at the Aquarium\xe2\x80\x94inside and out! https://t.co/VSLg5mrnHl'
1125861048089763846,2019-05-07 20:32:46,117,13,"b""We're all about that giant sea bass at the Aquarium. Find out more about the work we're doing to study the developm\xe2\x80\xa6 https://t.co/iiN1xkBE63"""
1125855251720884226,2019-05-07 20:09:44,3,0,b'@mrsgeedeck Good observation! As the sea bass gets bigger the eyes appear smaller in proportion to the body size'
1125854483165007872,2019-05-07 20:06:40,83,3,b'this is quite the development'
1125853256326848512,2019-05-07 20:01:48,563,124,b'the logical progression of giant sea bass https://t.co/jdOjwZDoMT'
1125829864936787968,2019-05-07 18:28:51,2,2,b'@sleezy_smalls Woo sea you soon!'
1125800698350694400,2019-05-07 16:32:57,1,0,b'@MollyCourt Looking happy as one! Thanks for stopping by!'
1125514723808571392,2019-05-06 21:36:35,6,0,"b""@tree_bee_501 @MBARI_News That's a great question! Since red light is the first color to disappear the deeper you g\xe2\x80\xa6 https://t.co/UWW1g3ObnR"""
1125512743849680896,2019-05-06 21:28:43,0,0,"b'@SuzyQuzey @MBARI_News The bell can reach up to one meter, about 3.3 feet across. \xe2\x81\xa3'"
1125498887265898496,2019-05-06 20:33:40,425,136,"b'Like a floating red spaceship, this giant and otherworldly jelly cruises the depths of the Pacific. Discovered by o\xe2\x80\xa6 https://t.co/Q8Qiqf5C6Y'"
1124719604125831169,2019-05-04 16:57:04,777,162,"b'May the Fourth be with you\xe2\x80\x94from Rey, Fin, Fluke Skywalker and Han Sula! https://t.co/A5gSmeWF96'"
1124425674385551361,2019-05-03 21:29:06,1181,157,b'We\xe2\x80\x99re pawsitive Uni found a great new home! https://t.co/xB3y4igP59'
1124417160216842240,2019-05-03 20:55:16,3,0,b'@zyphry Hope your day/week gets better! https://t.co/P9iX3wBEgS'
