,Word,Frequency
0,',1567
1,@,913
2,b,836
3,montereyaq,835
4,:,375
5,!,369
6,https,349
7,.,248
8,",",171
9,the,153
10,sea,145
11,i,127
12,'',110
13,and,101
14,of,62
15,a,60
16,?,60
17,all,56
18,otters,55
19,darth,55
20,to,51
21,otter,47
22,but,46
23,octopus,42
24,my,39
25,love,38
26,are,36
27,...,35
28,so,34
29,in,34
30,for,33
31,is,32
32,them,29
33,),29
34,that,28
35,sharks,28
36,mola,28
37,shark,28
38,one,27
39,whale,27
40,'s,27
41,or,26
42,you,26
43,fish,26
44,cuttlefish,26
45,whales,25
46,have,24
47,with,24
48,they,24
49,this,22
50,it,22
51,just,22
52,ocean,21
53,(,21
54,do,20
55,dolphins,19
56,\xf0\x9f\x90\x99,19
57,giant,18
58,me,17
59,like,16
60,;,16
61,nudibranchs,16
62,mantis,16
63,shrimp,16
64,any,16
65,no,15
66,can,14
67,not,14
68,-,14
69,pacific,14
70,'m,13
71,at,13
72,leafy,13
73,many,13
74,pick,12
75,rays,12
76,great,12
77,&,12
78,n't,11
79,jellyfish,11
80,also,11
81,sunfish,11
82,ray,11
83,#,11
84,white,11
85,dragons,11
86,crab,11
87,we,11
88,orca,10
89,their,10
90,these,10
91,on,10
92,i\xe2\x80\x99m,10
93,it\xe2\x80\x99s,10
94,amp,10
95,narwhal,10
96,dolphin,9
97,hard,9
98,first,9
99,good,9
100,choose,9
101,when,9
102,orcas,9
103,there,9
104,blue,9
105,go,9
106,jellies,8
107,course,8
108,too,8
109,about,8
110,seahorse,8
111,manatee,8
112,think,8
113,every,8
114,how,8
115,right,8
116,manatees,8
117,always,8
118,down,8
119,ones,8
120,\xe2\x9d\xa4\xef\xb8\x8f,8
121,was,8
122,aquarium,8
123,your,8
124,much,7
125,favorite,7
126,lion,7
127,manta,7
128,here,7
129,because,7
130,pretty,7
131,as,7
132,be,7
133,critter,7
134,count,7
135,octopi,7
136,know,7
137,really,7
138,specific,6
139,maybe,6
140,turtles,6
141,octopuses,6
142,what,6
143,see,6
144,general,6
145,am,6
146,an,6
147,hands,6
148,seahorses,6
149,water,6
150,squid,6
151,if,6
152,heart,6
153,seals,6
154,especially,6
155,creatures,6
156,close,6
157,look,6
158,hammerhead,6
159,make,6
160,still,6
161,humpback,5
162,california,5
163,turtle,5
164,dragon,5
165,nautilus,5
166,time,5
167,beluga,5
168,little,5
169,partial,5
170,say,5
171,between,5
172,been,5
173,obviously,5
174,since,5
175,got,5
176,ta,5
177,does,5
178,horseshoe,5
179,baby,5
180,cool,5
181,only,5
182,big,5
183,get,5
184,monterey,5
185,other,5
186,who,5
187,kind,5
188,penguins,5
189,slugs,5
190,critters,5
191,spotted,4
192,unicorn,4
193,out,4
194,going,4
195,well,4
196,coelacanth,4
197,wait,4
198,cute,4
199,old,4
200,saw,4
201,cownose,4
202,kinds,4
203,sure,4
204,\xf0\x9f\xa6\x88,4
205,nudibranch,4
206,year,4
207,blennies,4
208,sting,4
209,oh,4
210,up,4
211,majestic,4
212,um,4
213,top,4
214,killer,4
215,o,4
216,dumbo,4
217,mimic,4
218,by,4
219,today,4
220,has,4
221,watching,4
222,cephalopods,4
223,even,4
224,very,4
225,e,4
226,bay,4
227,leopard,4
228,'ll,4
