id,created_at,favorites,retweets,text
1125071719713034240,2019-05-05 16:16:15,13,1,"b'By far, my favorite part about working at @UCSanDiego and on the @smartfinproject at @Scripps_Ocean is the opportun\xe2\x80\xa6 https://t.co/kS2C93F0ls'"
1125062156041383936,2019-05-05 15:38:15,0,0,b'@jbrads10 @caffeinatedkrys Any specific suggestions? Was this something your uni offered or something you found elsewhere?'
1125061497091047424,2019-05-05 15:35:38,0,71,b'RT @caffeinatedkrys: All \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd PIs \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd should \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd undergo \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd mandatory \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd management \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd training! \n\n#AcademicTwitter #phdchat'
1125060177051316224,2019-05-05 15:30:23,2,0,b'@angelazoumplis I dunno but hope you\xe2\x80\x99ve decided by now.'
1124694062311718912,2019-05-04 15:15:34,0,21,b'RT @gcarbonproject: Space Station (ISS) to help track carbon dioxide on Earth. OCO3 launched.  https://t.co/VmNzvJCf0i'
1124693815141576704,2019-05-04 15:14:35,0,812,b'RT @NASAJPL: #MayTheFourthBeWithYou. Always.\n\nStar Wars Day 2019 launched in epic style with liftoff of @SpaceX Falcon 9 carrying our #OCO3\xe2\x80\xa6'
1124693394372980738,2019-05-04 15:12:55,0,32,"b'RT @chadenelsen: I love this! Google Doodle honors legendary surfer Eddie Aikau, savior of hundreds of lives https://t.co/FFx6X1Vs9u #eddie\xe2\x80\xa6'"
1124690461610860545,2019-05-04 15:01:16,2,0,b'One of the best episodes from one of the best podcasts. I hope they do a follow-up on the economics of why people d\xe2\x80\xa6 https://t.co/O77p7op6CN'
1123598857357578243,2019-05-01 14:43:37,0,12,"b'RT @Scripps_Ocean: Scientists at Scripps Oceanography, @UCSDSkaggsSOP &amp; @JCVenterInst have developed a new way to produce kainic acid, a na\xe2\x80\xa6'"
1123240141223448576,2019-04-30 14:58:13,0,19,"b'RT @ramez: Hey, energy and climate folks: @grist is hiring a Program Director for their new solutions lab, Fix. Want to identify, network,\xe2\x80\xa6'"
